time,sampled_mean
0.0,-0.5062756828753522
1.0,-5.1009787263556925
2.0,-4.272677387705699
3.0,-2.749062392404095
4.0,-2.8203991292469808
5.0,-6.3677894687998595
6.0,-4.937811257472347
7.0,-5.860147662400762
8.0,-5.668526532475571
9.0,-5.997897767332703
10.0,-1.7833953561284905
11.0,-1.784357000275642
12.0,-5.268654840013441
13.0,-5.994683161826224
14.0,-4.799850199268724
15.0,-4.284461007325676
16.0,-2.7695792504200236
17.0,-1.0018049233163078
18.0,-2.0230153711063283
19.0,-0.29485477981904284
20.0,-4.404717611655964
21.0,-5.1793180411059385
22.0,-5.783443946109704
23.0,-6.2717874225647945
24.0,-7.961782406896477
25.0,-11.274862966247225
26.0,-9.426083474489912
27.0,-7.634170943902741
28.0,-10.24290030228441
29.0,-10.177899704473054
30.0,-7.023556530211017
31.0,-5.834718607998199
32.0,-6.390743545176283
33.0,-4.710681733218432
34.0,-5.126566491249554
35.0,-5.442145681855099
36.0,-5.607669565508
37.0,-3.771586182720412
38.0,-1.2036856490382561
39.0,-1.9575436663840229
40.0,-4.421667912770826
41.0,-3.913683262886927
42.0,-4.4107495761315025
43.0,-6.253329002225637
44.0,-5.362028128891667
45.0,-5.556583234497343
46.0,-6.029373744064364
47.0,-8.58986354563158
48.0,-8.290010950775466
49.0,-5.9768640273502225
50.0,-5.177023232498233
51.0,-2.434847398157481
52.0,-0.1320318639072451
53.0,-0.6707436683898302
54.0,-2.277643420452973
55.0,-0.7245854940018415
56.0,1.1988917130649903
57.0,0.2572691250269661
58.0,0.5485873229802118
59.0,0.31641528971766913
60.0,0.09414075166869396
61.0,-0.004148609472700678
62.0,2.7623255561863376
63.0,2.951688284695258
64.0,3.4949738290095977
65.0,1.824054372520829
66.0,2.408582445383399
67.0,-0.0889484460659123
68.0,-1.4906947522365497
69.0,1.932814265871684
70.0,2.861964250935704
71.0,2.455819562081925
72.0,1.9511266067764268
73.0,3.1789256160491255
74.0,2.219404139437354
75.0,-0.1564269237583547
76.0,-3.765378189132538
77.0,-2.256791759663139
78.0,-4.334758289315284
79.0,-6.621171623553627
80.0,-8.158651516582736
81.0,-11.011519300773182
82.0,-9.892016821664622
83.0,-9.810928108388195
84.0,-6.791998870039881
85.0,-5.57744159856675
86.0,-5.397693383747209
87.0,-3.2313418553224884
88.0,-2.6177044192222634
89.0,-0.4845030500683833
90.0,2.621066412765677
91.0,0.8329999165963483
92.0,1.39380206927095
93.0,-1.617797437409762
94.0,-0.12463777076864621
95.0,-0.7876627864432921
96.0,-0.7758819261855762
97.0,-2.365424402308739
98.0,-2.354685415943049
99.0,0.45034583161093056
100.0,0.5606753425580538
101.0,1.1261827353653187
102.0,3.7906399203670866
103.0,3.184084164970843
104.0,3.8358899097357666
105.0,3.5231974580363947
106.0,1.9953392299926374
107.0,2.3782808662529424
108.0,2.1017311502409823
109.0,1.5468787423241674
110.0,1.2611483697441135
111.0,0.8470806639855871
112.0,2.3642705497422836
113.0,1.599631161962792
114.0,-0.0584415784894285
115.0,-0.8333547132977274
116.0,-3.7132400227274283
117.0,-5.350419175724797
118.0,-4.273494588333466
119.0,-4.008290636751915
120.0,-4.842383281983535
121.0,-3.1084739854715395
122.0,-3.1114414221870295
123.0,-4.342522314669708
124.0,-2.957100884388787
125.0,-4.277828469571434
126.0,-4.349187326071419
127.0,-4.089143600017002
128.0,-6.462255300823018
129.0,-7.065702905879121
130.0,-5.686462581789185
131.0,-4.00092548723535
132.0,-5.645185202976478
133.0,-6.922028502165413
134.0,-7.476055679362567
135.0,-8.738396171787775
136.0,-8.45637267101125
137.0,-10.792643230795713
138.0,-9.780001410617803
139.0,-11.974978312779205
140.0,-11.120514912487259
141.0,-10.295699157072507
142.0,-12.750289889044678
143.0,-14.08527283412556
144.0,-14.417227553660267
145.0,-13.1192392022732
146.0,-14.705307375019299
147.0,-13.936056473359846
148.0,-15.603553627081057
149.0,-14.364026607589015
150.0,-15.879454370180612
151.0,-17.258937039208938
152.0,-16.279861387572957
153.0,-14.626008843919792
154.0,-16.963528961990612
155.0,-15.447508857475965
156.0,-15.111446428498304
157.0,-14.115825920740866
158.0,-15.638205833180473
159.0,-16.558101140617143
160.0,-15.312983999376709
161.0,-17.065732056416998
