time,observation,state
1.0,-2.697921814960277,-1.4291505728413911
2.0,5.817522608767627,-1.15318741151231
3.0,0.42019387860349955,-1.5401128402106703
4.0,-1.0629946146108193,-1.3134631929836456
5.0,-11.517632745236808,-1.5179826874423192
6.0,-5.327041794360298,-1.5676400295550297
7.0,-15.006075527705281,-1.036076369548136
8.0,-2.103422740401262,-1.6064487378071912
9.0,-0.37296294657187,-1.469619388964278
10.0,-4.834805223794163,-1.4165853800252037
11.0,-2.2423397225146697,-1.65636121123125
12.0,-3.106437937762597,-2.154881755078275
13.0,-1.367603441992699,-2.9628605348829717
14.0,-0.20430046153078818,-3.4222225003924347
15.0,-0.06613366892187811,-3.938009353155928
16.0,-6.011420780686987,-3.431501190706574
17.0,-6.175004315453049,-3.4719308535707545
18.0,-11.199635882921173,-3.6960081024922626
19.0,-7.7021870251259585,-4.195886438906121
20.0,0.29435739944748995,-4.802723307051001
21.0,-4.301048658901814,-4.673571956783057
22.0,-7.840655427324437,-5.153554981111387
23.0,-7.51170778450118,-5.189454392735726
24.0,-5.401563785499428,-5.073620399838333
25.0,-2.2223670570138574,-5.4749292288268405
26.0,-25.274663140377985,-5.1731315973705305
27.0,5.923555684480454,-5.373858371061053
28.0,-9.26940694641619,-5.261491760743281
29.0,-4.770624736347165,-5.302507939093079
30.0,-5.506050182514306,-5.20418831943011
31.0,-3.2123129633539893,-5.2015689488144865
32.0,-5.716752285705254,-4.949400605735537
33.0,-6.952146120278805,-5.272444145548997
34.0,-4.0397459439523855,-5.059646181271428
35.0,0.30905880825912124,-5.249101565320775
36.0,-10.694908578195943,-5.471894894626196
37.0,0.17672655084837796,-5.710397179716042
38.0,-6.303674948479077,-5.396924755195163
39.0,-3.168908218934426,-5.277250009052968
40.0,-8.241440042027126,-5.2936986294840525
41.0,-16.561526175468323,-5.66682685782311
42.0,-9.313247300939679,-5.7629330779335675
43.0,-0.8479413406815288,-5.257376492978325
44.0,-8.722141828064977,-5.217340755269707
45.0,-3.804202107988984,-5.422084733663411
46.0,-24.895819731770917,-5.144866649218945
47.0,-2.9322377027442355,-5.722155594893
48.0,-5.2883879461549315,-5.568253093424147
49.0,-6.842541621475911,-5.710298041827564
50.0,-2.472478332595918,-5.298076157035496
51.0,-1.84605845865347,-5.4789683981643185
52.0,-3.9876611572156366,-5.45596806961329
53.0,-9.816491879787726,-5.520742253273987
54.0,-8.137950202348508,-5.951519471345684
55.0,-9.145210684343501,-6.0061260241558685
56.0,-8.86905793828736,-6.130613306425211
57.0,-9.397060267565845,-6.672645408179742
58.0,-5.001133049246974,-6.430987283297662
59.0,-6.855882970910531,-6.320156414778521
60.0,-9.215197425060985,-6.587468606484154
61.0,-7.5315546583552,-7.322545120675533
62.0,-6.317532958065557,-7.372922448619906
63.0,-6.097901439243328,-7.148750660021759
64.0,-5.453391311344168,-6.833441272315154
65.0,-7.003875178074886,-6.600344692389988
66.0,-1.5852056341889051,-6.0436310554884205
67.0,-9.377808407523368,-6.231038666807598
68.0,-5.6052836055509125,-6.1784085013356345
69.0,-7.5553206965957305,-7.0609072870979395
70.0,-5.952877553696105,-6.341796662343073
71.0,-4.543231408995592,-6.446774763969356
