time,observation,state
1,0.0,0.24951021426401482
2,0.0,0.2568805998838118
3,0.0,0.39812369995187136
4,4.0,0.49471888868256375
5,2.0,0.7743881598263047
6,4.0,0.6763662108338487
7,3.0,0.7493907191837749
8,1.0,0.6327392692120405
9,2.0,0.6598041310749317
10,2.0,0.7438974294085502
11,1.0,0.76256999077628
12,4.0,0.8497847144671545
13,2.0,0.6121238855785948
14,0.0,0.7102342310916162
15,1.0,0.8861016083020664
16,5.0,0.9432455225937356
17,1.0,0.7205863343799955
18,3.0,0.7530590978573422
19,3.0,0.640885958678841
20,4.0,0.5990204544351775
21,3.0,0.5434280432759233
22,2.0,0.6455519617147167
23,3.0,0.7358070649880939
24,3.0,0.6451100836734829
25,4.0,0.5562109424382288
26,2.0,0.6551262616935476
27,3.0,0.5757713223218589
28,4.0,0.5390632039056701
29,0.0,0.6062877704345064
30,3.0,0.64964241058903
31,1.0,0.6678914055395353
32,1.0,0.5719144107995577
33,1.0,0.47749062540249104
34,3.0,0.5465636410465086
35,1.0,0.409242481846821
36,3.0,0.579671248418014
37,2.0,0.5850864785313244
38,1.0,0.5683164478855759
39,2.0,0.46613381944042065
40,1.0,0.3991962953619794
41,2.0,0.307379295246047
42,1.0,0.2906557809981447
43,1.0,0.47052626517722496
44,2.0,0.5883532827857034
45,0.0,0.564299793480087
46,0.0,0.5786991122253368
47,1.0,0.5451007787299142
48,1.0,0.5082728549767419
49,4.0,0.5301444173740041
50,1.0,0.5682434309168413
51,1.0,0.7092903287941179
52,2.0,0.8196023557729988
53,2.0,0.890239914654422
54,3.0,0.9919096108115995
55,3.0,0.875521265667485
56,2.0,0.820431818810604
57,4.0,0.8944176198839708
58,1.0,0.8546571034151905
59,1.0,0.9723566293107986
60,4.0,1.1163471692904359
61,4.0,0.9987681942786295
62,5.0,1.1476964580035371
63,1.0,1.3193488613349686
64,1.0,1.3013159072462797
65,5.0,1.3686313248511512
66,4.0,1.5811622208440035
67,7.0,1.5836764503724252
68,8.0,1.7406257084541423
69,1.0,1.5389250347470744
70,3.0,1.3364329897115241
71,2.0,1.3418815642704633
72,2.0,1.3158154292019297
73,5.0,1.3048002592826242
74,3.0,1.3374987064140067
75,8.0,1.2947048861613746
76,3.0,1.3639686635291484
77,2.0,1.450414477805987
78,6.0,1.4897524284547334
79,3.0,1.539918551114081
80,7.0,1.427527454557663
81,4.0,1.246667019554214
82,4.0,1.2192739532877204
83,3.0,1.3846553254524112
84,5.0,1.3952641350782828
85,6.0,1.373797357843315
86,4.0,1.3568106907723947
87,1.0,1.5159778626129752
88,7.0,1.4364346741391423
89,3.0,1.2730689932508998
90,2.0,1.510940661496836
91,5.0,1.6156418690119405
92,13.0,1.648535567566966
93,4.0,1.6602756449806786
94,3.0,1.7842299260574639
95,8.0,1.9559646446500396
96,5.0,1.7716814798411598
97,8.0,1.8518954276568294
98,3.0,1.8327866668286728
99,3.0,1.829504684643705
100,10.0,1.8042773621176142
101,6.0,1.8154636497967167
102,8.0,1.734924824030075
103,7.0,1.737427515831667
104,3.0,1.6400049473101088
105,6.0,1.7974722023408884
106,6.0,1.915378474276247
107,5.0,1.894430011638456
108,3.0,1.8207677710480945
109,7.0,1.8865585977845418
110,6.0,2.0291348360225587
111,7.0,2.011709443648704
112,13.0,2.0562084327329644
113,7.0,2.0183532906898094
114,9.0,2.020882624220248
115,2.0,2.131404543604664
116,14.0,2.4456077767666056
117,15.0,2.539346849457544
118,9.0,2.502478795524742
119,10.0,2.631543415352529
120,14.0,2.708675306314586
121,13.0,2.7704301451785502
122,18.0,2.845678815179357
123,18.0,3.0309223391067532
124,31.0,2.9705187347997
125,15.0,2.847038669651821
126,10.0,2.8991909087783347
127,16.0,2.861794437116593
128,12.0,2.894019240244215
129,17.0,2.850447416062177
130,18.0,2.836181304646001
131,11.0,2.7062942387472964
132,20.0,2.73823115729298
133,16.0,2.865371577091015
134,16.0,2.995947422587377
135,14.0,3.1408394647761906
136,20.0,3.1315886861006326
137,23.0,3.2249750549701037
138,23.0,3.1845897305083777
139,29.0,3.247170004638641
140,26.0,3.3803556183840793
141,22.0,3.439149361497792
142,28.0,3.28373047787618
143,27.0,3.2344850674215233
144,33.0,3.263346387887611
145,16.0,3.1302774014957047
146,12.0,3.0070440609214595
147,16.0,2.899795642588062
148,29.0,3.079797056713513
149,26.0,3.135618895358484
150,21.0,2.947785640347862
151,14.0,2.94793838464562
152,21.0,2.7322132438734967
153,23.0,2.7133055733837645
154,12.0,2.795016154952571
155,23.0,2.732168268016525
156,18.0,2.856652050092027
157,13.0,2.7309485315287527
158,18.0,2.822667389194004
159,13.0,3.025545627995981
160,16.0,3.102862415656624
161,25.0,3.0899865515549156
162,25.0,3.0686673887809377
163,17.0,3.0219619309249084
164,16.0,2.883506155369123
165,21.0,2.941317571204754
166,22.0,2.9866226962271485
167,12.0,2.8833700869178136
168,20.0,3.000877883647367
169,26.0,3.0565321026421963
170,28.0,3.0918637810207246
171,30.0,3.200813414378933
172,22.0,3.145574004298701
173,31.0,3.1245656400835644
174,19.0,3.1935646880406763
175,21.0,3.064534634628314
176,21.0,2.9615015150142154
177,23.0,3.059464141378452
178,21.0,2.984953621735944
179,21.0,3.004727975937378
180,13.0,3.1326613615880556
181,32.0,3.3159531354382574
182,25.0,3.2992006566120047
183,33.0,3.360865609096313
184,31.0,3.3586826173194417
185,31.0,3.4241752187433727
186,37.0,3.4292217238019456
187,22.0,3.4020813626898656
188,35.0,3.5350646940330543
189,32.0,3.4221121901004463
190,28.0,3.3551232303561
191,26.0,3.2761023306173582
192,27.0,3.2333744852274124
193,29.0,3.2772148414996845
194,21.0,3.1659597609926857
195,24.0,3.2156233912984686
196,30.0,3.1730246198850254
197,24.0,3.1093955252938055
198,27.0,3.185553174888421
199,14.0,3.2523678990057667
200,21.0,3.1966053393193032
201,30.0,3.2146567976528524
202,25.0,3.2848837663993766
203,27.0,3.331046763588331
204,35.0,3.3622304775179663
205,37.0,3.547873116992559
206,32.0,3.459810670963488
207,34.0,3.484501863875208
208,24.0,3.3827076334700275
209,36.0,3.4244947945584587
210,29.0,3.5193320150568606
211,22.0,3.5840299208975495
212,53.0,3.8169923990676318
213,47.0,3.7534928459038275
214,43.0,3.8690657736357497
215,61.0,3.8828985645546163
216,61.0,4.0428393340932365
217,58.0,4.043692427711947
218,70.0,4.1411477714635
219,79.0,3.9939483437296004
220,55.0,4.050363578191283
221,55.0,4.066987881271295
222,60.0,4.159001470499848
223,68.0,4.119593625684639
224,58.0,4.110472485861055
225,52.0,3.911469995472166
226,56.0,3.8568342023455195
227,55.0,3.803312788422271
228,46.0,3.84953709925611
229,37.0,3.7451828037553136
230,37.0,3.7967001708587675
231,51.0,3.8228480769524853
232,51.0,3.895067964438417
233,52.0,4.041628311875737
234,71.0,4.043626270204174
235,65.0,4.041549829816999
236,43.0,3.960460317416162
237,62.0,4.046034342760862
238,52.0,4.010597533342911
239,61.0,3.989884526486051
240,59.0,3.934298808675844
241,55.0,3.898719896500782
242,56.0,3.917201709980988
243,69.0,4.09784311667886
244,63.0,3.967321262675633
245,72.0,4.128397400933492
246,70.0,4.232104054360506
247,58.0,4.140472842389486
248,75.0,4.063343821480502
249,63.0,4.125077817891611
250,77.0,4.283837447164775
251,79.0,4.275681177565439
252,72.0,4.266933460668506
253,83.0,4.307336626861515
254,70.0,4.300310503730021
255,79.0,4.40326103073324
256,87.0,4.480605459538517
257,72.0,4.377855867468604
258,81.0,4.498261799651609
259,101.0,4.796409322489106
260,129.0,4.746490515156068
261,131.0,4.8142702256998
262,108.0,4.682895778717463
263,73.0,4.526071963768105
264,79.0,4.315057006716695
265,81.0,4.444438880748499
266,79.0,4.252388703173189
267,66.0,4.262595073445138
268,79.0,4.301465830919955
269,63.0,4.210131382793774
270,63.0,4.229569007102663
271,49.0,4.054780713237025
272,57.0,4.123287656027296
273,59.0,4.25211697611809
274,76.0,4.286985893798314
275,75.0,4.2892081461519975
276,79.0,4.290302889448388
277,72.0,4.272420448839794
278,81.0,4.253881759373666
279,80.0,4.390659574858108
280,91.0,4.496077608463064
281,86.0,4.476153936087805
282,86.0,4.483877807964875
283,94.0,4.616363964661692
284,101.0,4.655427850325352
285,119.0,4.680532599720653
286,121.0,4.80769085947099
287,112.0,4.808056670252116
288,110.0,4.753753341011801
289,99.0,4.736522355564103
290,124.0,4.888016283897304
291,177.0,5.0585627928733805
292,162.0,5.019340271595375
293,153.0,5.051727901023392
294,192.0,5.220648238764533
295,194.0,5.330165715171328
296,198.0,5.3419248498406615
297,262.0,5.470313538460454
298,208.0,5.386301771217066
299,235.0,5.385970244167228
300,230.0,5.437956825463114
301,242.0,5.559572904597948
302,229.0,5.532733469975774
303,224.0,5.510334599852109
304,215.0,5.350978099905712
305,195.0,5.327809436686889
306,161.0,5.1668684387863895
307,157.0,5.1330525850290325
308,210.0,5.330414595127433
309,237.0,5.421686480746734
310,224.0,5.464545498627197
311,263.0,5.618673151288652
312,296.0,5.668896561636265
313,297.0,5.698936617474545
314,329.0,5.824478289015732
315,310.0,5.7412876336584935
316,297.0,5.6411386959655125
317,259.0,5.5378979210793435
318,217.0,5.402538188239629
319,240.0,5.489606203672282
320,236.0,5.398214134994973
321,245.0,5.447833017150277
322,251.0,5.489976217128918
323,249.0,5.559435788509539
324,253.0,5.533700265147103
325,277.0,5.688260284020929
326,280.0,5.668524053063194
327,296.0,5.613502751902862
328,273.0,5.530088780475669
329,236.0,5.463784475970699
330,260.0,5.586474024643599
331,287.0,5.671320162088789
332,353.0,5.804718328317223
333,305.0,5.67887391776663
334,298.0,5.676629010300291
335,297.0,5.625708976170806
336,334.0,5.761180244196141
337,325.0,5.719621905630159
338,293.0,5.584033124606366
339,264.0,5.542037644474203
340,222.0,5.546119817932508
341,218.0,5.4398976455823815
342,270.0,5.521406947493377
343,279.0,5.600707604750311
344,283.0,5.628576611702084
345,252.0,5.550656584784536
346,269.0,5.512315773288166
347,220.0,5.447154852279574
348,301.0,5.713791505422818
349,264.0,5.623142628676669
350,288.0,5.6258233022442505
351,249.0,5.528523466428161
352,253.0,5.565538937188964
353,229.0,5.387932800548292
354,184.0,5.324890138445269
355,190.0,5.216896710987402
356,172.0,5.161936276390629
357,143.0,5.11488724631305
358,161.0,5.112408641986214
359,204.0,5.194511188978599
