time,observation,state
1.0,-1.437941249838486,-0.3810519162299401
2.0,2.596808497857607,0.3702154544399779
3.0,-1.2593799776623085,-0.7299439253166908
4.0,0.3042804403965638,0.36403662066178866
5.0,4.643064027038065,3.5547671834250063
6.0,2.684245653235929,2.5538979511435356
7.0,0.7081363331993749,3.1899792799820297
8.0,-0.5627437605563921,1.7445307027032653
9.0,3.3468128823700187,3.190721803648997
10.0,2.319064264113807,1.0480741259814779
11.0,4.573537995455123,3.7138327018176494
12.0,1.6156540782781403,1.599654859545331
13.0,2.5565987518511477,1.8430096566421397
14.0,0.029221329869884904,1.099232961001145
15.0,6.213036692166931,4.64909360915007
16.0,3.879301774017712,4.191990377833654
17.0,6.217564622147979,3.6691377857639838
18.0,1.6816859103492257,1.9564166497465252
19.0,-2.13774038918739,-3.208644925186575
20.0,-4.0445185014259435,-3.581371210269406
21.0,-5.2766003829414645,-4.3846624028866135
22.0,-2.269992382345806,-5.156075030242657
23.0,-2.2852449072030305,-4.2495117271655385
24.0,-2.8292592238427137,-4.549669910721321
25.0,-6.480348781937438,-4.056244153991405
26.0,-4.1209581527897665,-4.337779732675872
27.0,-4.788387026768451,-3.3802417384304166
28.0,0.519769160202955,-2.276826181643474
29.0,-2.445605972552576,-3.2669021420624444
30.0,-3.4376230248627757,-3.590591827434844
31.0,-4.343434631155954,-2.4534520598863327
32.0,-3.756465210540965,-2.8907233865747046
33.0,-6.365217927698362,-5.196359585814237
34.0,-5.952874041910841,-5.314582694301484
35.0,-11.628347860443782,-8.384883631584044
36.0,-9.864163448579767,-7.294856345203787
37.0,-7.5728744587580135,-8.205803570667722
38.0,-6.721049739750474,-8.141988574929
39.0,-6.483478888299802,-6.445405559300205
40.0,-7.7539637026709975,-6.685864187192166
41.0,-5.753858668343944,-6.036342513491769
42.0,-7.170579625679055,-6.655342919551117
43.0,-10.54192468780327,-8.098789524555283
44.0,-8.709756629043156,-7.8455944003297455
45.0,-9.711146223070976,-8.25654656815165
46.0,-9.168875123382312,-10.404336928940852
47.0,-12.884954868677694,-12.74809943277435
48.0,-11.225120920926901,-12.80090496804737
49.0,-11.772316973706374,-11.053392073026687
50.0,-10.437095712137289,-11.092816598028827
51.0,-8.064962967209139,-10.990816857662695
52.0,-12.234857514353033,-12.363573595484814
53.0,-10.985268248820615,-12.424693640800317
54.0,-13.654312651231468,-14.00352888748686
55.0,-14.889993359281616,-13.127504058924508
56.0,-15.699305996281765,-15.990742888748912
57.0,-17.443914772199328,-16.261446190923394
58.0,-17.04336051466073,-16.874515808137488
59.0,-19.089028338473867,-17.67267458518512
60.0,-12.668164877789481,-14.643711321751846
61.0,-15.093471905945723,-14.080443748937917
62.0,-13.534276129447806,-13.048338892657666
63.0,-14.776823575481176,-15.056648008501291
64.0,-14.22164821637297,-15.349962402681218
65.0,-17.85022899954818,-17.24869219296118
66.0,-19.521421501249637,-17.942048979049954
67.0,-19.302921985946952,-17.441512372468267
68.0,-18.025353584105112,-19.291865756013618
69.0,-19.744468374718192,-19.096504811869135
70.0,-24.626614626750673,-21.382850255915102
71.0,-24.65408305641493,-22.142798408326435
72.0,-21.34387952786762,-20.68550159709669
73.0,-20.214857952208916,-19.748079377794085
74.0,-19.05211233294183,-20.096665304814213
75.0,-21.4751099090169,-20.44104926837251
76.0,-19.053313200043604,-21.025791809676825
77.0,-21.376620873049227,-20.665821626776914
78.0,-22.32192135064163,-21.52705663513457
79.0,-18.826544533375127,-21.145737282256512
80.0,-20.640101257058106,-22.33862551701823
81.0,-22.675019849466818,-20.997983066961126
82.0,-22.32932202083375,-23.98495570231243
